CodigoEstacion;NombreEstacion;Municipio;Departamento;ZonaHidrografica
52025080;ESTRECHO PATIA  - AUT;patia (el bordo);cauca;patia
52055090;SINDAGUA;tangua;narino;patia
52050090;IMUES;imues;narino;patia
5204700100;PUENTE LOS DOLORES - AUT;pasto;narino;patia
44015070;EL PEPINO - AUT;mocoa;putumayo;caqueta
52050080;TANGUA;tangua;narino;patia
21117110;MOTILON  - AUT;rivera;huila;alto magdalena
52050060;RIO BOBO;pasto;narino;patia
26185050;SANTA BARBARA - AUT;santa barbara;antioquia;cauca
32075501;LEJANIAS  - AUT;lejanias;meta;guaviare
15085050;TOROMANA - AUT;uribia;la guajira;caribe - guajira
1508500053;PUERTO ESTRELLA - AUT;uribia;la guajira;caribe - guajira
23127020;PTO ARAUJO - RIO CARARE;cimitarra;santander;medio magdalena
15067020;EL CERCADO;fonseca;la guajira;caribe - guajira
21201200;ESC LA UNION - FOPAE;bogota;bogota;alto magdalena
24017704;HDA EL HATO - CAR;carmen de carupa;cundinamarca;alto magdalena
26155505;GRANJA LUKER  - AUT;palestina;caldas;cauca
21202180;QUIBA - FOPAE;bogota;bogota;alto magdalena
21206780;LA INDEPENDENCIA FOPAE Fuera de Servicio;bogota;bogota;alto magdalena
16027280;ASTILLEROS - AUT;cucuta;norte de santander;catatumbo
23195190;SAN ANTONIO;floridablanca;santander;medio magdalena
21202240;UAN SEDE CIRCUNVALAR - FOPAE;bogota;bogota;alto magdalena
21206810;SAN BENITO - FOPAE;bogota;bogota;alto magdalena
21202200;VITELMA;bogota;bogota;meta
21201980;CERRO GUADALUPE - FOPAE;bogota;bogota;alto magdalena
15075501;AEROPUERTO PUERTO BOLIVAR  - AUT;uribia;la guajira;caribe - guajira
11115501;CAÑASGORDAS  - AUT;canasgordas;antioquia;atrato - darien
23157030;BARRANCABERMEJA  - AUT;barrancabermeja;santander;medio magdalena
52017030;LA FONDA - AUT;patia (el bordo);cauca;patia
21015501;PITALITO  - AUT;pitalito;huila;alto magdalena
21167080;LA MORA - AUT;prado;tolima;alto magdalena
2120000104;COLEGIO MIGUEL ANTONIO CARO - AUT;bogota;bogota;alto magdalena
11017020;PR CHOCO: BAGADO;bagado;choco;<nil>
21257120;PUENTE NEGRO  - AUT;villahermosa;tolima;alto magdalena
16017030;LA UCHEMA - En Siniestro;villa del rosario;norte de santander;catatumbo
21195501;GRANJA TIBACUY  - AUT;tibacuy;cundinamarca;alto magdalena
13057010;NUEVA COLOMBIA;monteria;cordoba;sinu
23035030;BASE PALANQUERO  - AUT;puerto salgar;cundinamarca;medio magdalena
2120000105;EL CODITO - AUT;bogota;bogota;alto magdalena
21137010;PURIFICACION;purificacion;tolima;alto magdalena
57015010;MALPELO - DIMAR;buenaventura;valle del cauca;baudo - directos pacifico
26125503;LA SIRENA  - AUT;sevilla;valle del cauca;cauca
35027520;BOCATOMA EAAB - AUT;la calera;cundinamarca;meta
21085501;TERUEL  - AUT;teruel;huila;alto magdalena
14017001;TESORO INVEMAR;cartagena de indias;bolivar;bajo magdalena
56015040;PR CHOCO: JURADO;jurado;choco;<nil>
17017001;JHONNY CAY;san andres;san andres;islas caribe
2120700038;SAN FRANCISCO - AUT;bogota;bogota;alto magdalena
25020520;BUENAVISTA - LA MOJANA TX GPRS/GOES;buenavista;cordoba;bajo magdalena- cauca -san jorge
2120700037;CASAS FISCALES ESCUELA DE ARTILLERÍA - AUT;bogota;bogota;alto magdalena
12015100;PISTA INDIRA - AUT;turbo;antioquia;caribe - litoral
56125730;ESTRELLA DE AGUA - AUT;salento;quindio;cauca
13095010;COVEÑAS - DIMAR;tolu;sucre;caribe - litoral
21202210;MICAELA - FOPAE;bogota;bogota;alto magdalena
11105020;CARMEN DARIEN;carmen del darien  (curbaradó);choco;atrato - darien
21202250;DOÑA JUANA - FOPAE;bogota;bogota;alto magdalena
23117030;EL TAGUAL;cimitarra;santander;medio magdalena
37057020;ALCARAVAN  AUT;arauquita;arauca;arauca
14015020;APTO RAFAEL NUÑEZ  TX GPRS;cartagena;bolivar;caribe - litoral
21215170;LA MARTINICA;ibague;tolima;alto magdalena
54077210;JUANCHACO - AUT;buenaventura;valle del cauca;san juan
23207040;SAN PABLO RIO MAGDALENA  - AUT;san pablo;bolivar;medio magdalena
16015110;UNIVERSIDAD FRANCISO DE PAULA SANTANDER - AUT;cucuta;norte de santander;catatumbo
11037030;LA LOMA PUEBLO NUEVO - En Siniestro;rio quito (paimado);choco;atrato - darien
28025130;LA LOMA CARBONES - AUT;el paso;cesar;cesar
21087080;HDA VENECIA;yaguara;huila;alto magdalena
52025501;LA VEGA  - AUT;la vega;cauca;patia
54017040;TADO - AUT;tado;choco;san juan
23017040;LA ESPERANZA- GUALÍ;mariquita;tolima;medio magdalena
21255170;MURILLO - AUT;murillo;tolima;alto magdalena
13055040;INCODER - AUT;monteria;cordoba;sinu
21202220;PARAISO - FOPAE;bogota;bogota;alto magdalena
21202170;SIERRA MORENA - FOPAE;bogota;bogota;alto magdalena
26155270;SAN ANTONIO CALDAS - AUT;villamaria;caldas;cauca
23055501;SANTA HELENA  - AUT;marquetalia;caldas;medio magdalena
23197690;PALOGORDO - AUT;giron;santander;medio magdalena
11120040;PR CHOCO: RIOSUCIO;riosucio;choco;atrato - darien
16015501;APTO CAMILO DAZA;cucuta;norte de santander;catatumbo
11027070;BORAUDO;lloro;choco;atrato - darien
25027020;EL BANCO - AUT;el banco;magdalena;cesar
15067210;CARACOLI - En Siniestro;san juan del cesar;la guajira;caribe - guajira
51025060;BIOTOPO - AUT;barbacoas;narino;mira
21202230;UAN SEDE USME - FOPAE;bogota;bogota;alto magdalena
2120000102;COLEGIO CARLOS PIZARRO - AUT;bogota;bogota;alto magdalena
24015340;EL HATO - CAR;carmen de carupa;cundinamarca;sogamoso
23057140;SAN MIGUEL;sonson;antioquia;medio magdalena
2120000106;GRAN BRETAÑA - AUT;bogota;bogota;alto magdalena
2120000103;CERRO NORTE - AUT;bogota;bogota;alto magdalena
24025504;ENCINO - ISAGEN;encino;santander;sogamoso
11159010;CAPURGANA - TX GPRS;acandi;choco;atrato - darien
21206900;LA ESPERANZA USME - FOPAE;bogota;bogota;meta
37015501;LABATECA  - AUT;labateca;norte de santander;arauca
21208480;KENNEDY - FOPAE;bogota;bogota;alto magdalena
35071001;TEATINOS - ESTACION EN PRUEBA;boyaca;boyaca;meta
13037040;CARRIZOLA - En Siniestro;tierralta;cordoba;sinu
51027060;SAN JUAN RIO MIRA;tumaco;narino;mira
