Codigo,Estacion,Longitud,Latitud,Ciudad,Barrio,Comuna,Corregimiento,Vereda,Fecha_Instalacion,Estado
139,Santa Rita Guatape - Disdrometro,-75.17209,6.31826,Guatape,,,,Santa Rita,2015-05-28,Activa
140,R. Medellin - Puente Fundadores,-75.49881,6.35805,Copacabana,La Maria,,,,2015-06-12,Activa
141,Finca El Canalon Deslizamiento,-75.60794,6.12931,Sabaneta,,,,La Doctora,2015-06-23,Inactiva
142,Finca El Canalon Corona,-75.60789,6.12917,Sabaneta,,,,La Doctora ,2015-06-23,Inactiva
143,Q. La Doctora - Aguas Arriba,-75.60878,6.13559,Sabaneta,,,,La Doctora,2015-06-24,Activa
144,Q. El Canalon,-75.60778,6.13403,Sabaneta,,,,La Doctora,2015-06-24,Inactiva
145,Q. La Sabanetica - Prados de Sabaneta,-75.62283,6.14725,Sabaneta,Prados de Sabaneta,,,,2015-07-03,Activa
146,Club del Adulto Mayor - Sabaneta,-75.62224,6.14731,Sabaneta,Prados de Sabaneta,,,,2015-07-21,Activa
147,Bocatoma el viento - nivel,-75.31006,6.41392,Barbosa,,,,Ventanas,2015-07-22,Inactiva
148,Bocatoma las despensas,-75.67608,6.19000,Medellin,,,80 San Antonio de Prado,Montanita,2015-07-24,Inactiva
150,Q. Canada Negra - Santa Rita,-75.55054,6.30666,Bello,Santa Rita,Comuna 11,,,2015-08-05,Activa
151,Seminario Redemptoris Mater,-75.53711,6.22415,Medellin,,,90 Santa Elena,Las Palmas,2015-08-18,Inactiva
152,Q. Ana Diaz - Barrio Cristobal,-75.60944,6.24603,Medellin,Barrio Cristobal,12 La America,,,2015-08-24,Activa
153,Bocatoma la Cascada,-75.51181,6.22706,Medellin,,,90 Santa Elena,Vereda Media Luna,2015-09-03,Inactiva
154,Centro de Desarrollo Infantil Pequenos Exploradores,-75.54802,6.30981,Bello,Santa Rita,Comuna 11,,,2015-09-17,Activa
155,Q. El Hato - Puerto Bello,-75.55851,6.32950,Bello,Puerto Bello,Comuna 04,,,2015-09-23,Activa
156,Carmen de Viboral - Disdrometro,-75.30506,6.08550,El Carmen de Viboral,,,,Viboral,2015-09-24,Inactiva
157,Aula Ambiental - Velocidad Superficial,-75.57253,6.26411,Medellin,El Chagualo,07 Robledo,,,2015-10-01,Inactiva
158,Q. La Rosa - Moscu No. 1,-75.55525,6.28917,Medellin,Moscu No1,01 Popular,,,2015-10-07,Activa
159,Samana - Disdrometro,-74.99518,5.44065,Samana,,,,La Palma,2015-09-24,Activa
160,Samana - Pluviometro,-74.99518,5.44065,Samana,,,,La Palma,2015-10-16,Activa
161,Q. La Chocha - Chile,-75.64628,6.15362,La Estrella,Chile,,,,2015-11-23,Activa
162,Q. El Tablazo,-75.61275,6.18111,Itagui,El Progreso,,,,2015-11-23,Inactiva
163,Q. La Munoz,-75.62545,6.16687,Itagui,,,,,2015-11-20,Inactiva
164,Planta de potabilizacion de barbosa,-75.32492,6.43003,Barbosa,,,,,2016-01-07,Inactiva
165,Santa Rosa de Osos - Pluviometro,-75.45786,6.63889,Santa Rosa de Osos,Avenida crespo,,,,2016-03-01,Activa
166,Q. El Chocho - Altavista,-75.63149,6.22320,Medellin,,,70 Altavista,Altavista - Sector Central,2016-02-02,Activa
167,Ancon Sur,-75.62672,6.15300,Medellin,Zona Industrial,,,,2016-01-10,Inactiva
168,Santa Rita Guatape - Pluviometro,-75.17209,6.31826,Guatape,,,,Santa Rita,2016-02-29,Activa
169,R. Medellin - La Clara,-75.61976,6.04869,Caldas,,,,La Clara,2016-02-11,Activa
170,Metro Poblado - Nivel,-75.57810,6.21287,Medellin,Patio Bonito,14 El Poblado,,,2016-04-02,Inactiva
171,Escombrera Mocatan - Pluviometro,-75.63083,6.05973,Caldas,,,,La Clara,2016-02-29,Activa
172,Escombrera Mocatan - Nivel,-75.62875,6.06063,Caldas,,,,La Clara,2016-04-01,Inactiva
173,Q. La Picacha - Aguas Frias,-75.63964,6.23131,Medellin,,,70 Altavista,Aguas Frias,2015-09-28,Activa
174,Q. La Sanin,-75.54610,6.20300,Medellin,,,90 Santa Elena,Las Palmas,2016-05-11,Inactiva
174,Q. La Sanin,-75.54610,6.20300,Medellin,,,90 Santa Elena,Las Palmas,2016-05-11,Inactiva
175,Q. La Honda - C. Bravo M.,-75.55728,6.26610,Medellin,Manrique Central No. 1,4 Aranjuez,,,2016-05-13,Inactiva
176,Altavista - Velocidad Superficial,-75.61586,6.22187,Medellin,,,70 Altavista,Altavista,2016-06-10,Inactiva
177,3 Aguas - Velocidad Superficial,-75.63526,6.09602,Caldas,,,,La Miel,2016-06-10,Inactiva
